requestId,type,recordId,verdict,timeout,submit_ms,e2e_ms
qual-r-60633-10,real,12,1,0,33.95,127.91
qual-r-60633-11,real,13,1,0,19.34,127.79
qual-r-60633-12,real,15,1,0,34.37,128.76
qual-r-60633-13,real,16,1,0,19.19,127.65
qual-r-60633-14,real,17,1,0,25.69,127.01
qual-r-60633-15,real,18,1,0,25.94,126.56
qual-r-60633-16,real,19,1,0,25.85,22.16
qual-r-60633-17,real,20,1,0,24.18,48.23
qual-r-60633-18,real,21,1,0,24.80,26.77
qual-r-60633-19,real,22,1,0,23.83,32.56
qual-r-60633-2,real,8,1,0,307.44,129.14
qual-r-60633-20,real,24,1,0,22.53,31.71
qual-r-60633-21,real,23,1,0,25.43,32.56
qual-r-60633-22,real,25,1,0,21.88,47.39
qual-r-60633-23,real,26,1,0,22.65,34.53
qual-r-60633-24,real,29,1,0,19.62,49.15
qual-r-60633-25,real,27,1,0,18.62,22.43
qual-r-60633-26,real,31,1,0,25.12,32.71
qual-r-60633-27,real,32,1,0,22.35,22.49
qual-r-60633-28,real,28,1,0,20.89,32.70
qual-r-60633-29,real,30,1,0,18.97,32.45
qual-r-60633-3,real,6,1,0,307.21,128.68
qual-r-60633-30,real,33,1,0,23.13,32.79
qual-r-60633-31,real,34,1,0,21.53,32.14
qual-r-60633-32,real,35,1,0,16.35,27.17
qual-r-60633-33,real,37,1,0,15.52,27.22
qual-r-60633-34,real,36,1,0,20.56,27.13
qual-r-60633-35,real,39,1,0,20.51,31.71
qual-r-60633-36,real,38,1,0,20.28,31.73
qual-r-60633-37,real,40,1,0,20.30,29.63
qual-r-60633-38,real,41,1,0,18.78,30.95
qual-r-60633-39,real,42,1,0,18.81,30.80
qual-r-60633-4,real,9,1,0,307.28,128.71
qual-r-60633-40,real,43,1,0,18.65,37.26
qual-r-60633-41,real,44,1,0,18.37,47.39
qual-r-60633-42,real,45,1,0,17.55,29.60
qual-r-60633-43,real,47,1,0,17.29,55.62
qual-r-60633-44,real,46,1,0,16.67,39.95
