requestId,type,recordId,verdict,timeout,submit_ms,e2e_ms
qual-f-60633-0,forged,102,2,0,13.85,16.59
qual-f-60633-1,forged,104,2,0,11.93,16.75
qual-f-60633-10,forged,113,2,0,12.38,22.26
qual-f-60633-11,forged,114,2,0,10.76,15.50
qual-f-60633-12,forged,115,2,0,11.86,15.13
qual-f-60633-13,forged,118,2,0,13.02,19.58
qual-f-60633-14,forged,116,2,0,11.53,15.22
qual-f-60633-15,forged,117,2,0,11.64,14.97
qual-f-60633-16,forged,119,2,0,12.85,15.05
qual-f-60633-17,forged,120,2,0,14.36,16.81
qual-f-60633-18,forged,121,2,0,11.19,13.88
qual-f-60633-19,forged,122,2,0,11.25,18.90
qual-f-60633-2,forged,105,2,0,12.69,17.21
qual-f-60633-20,forged,125,2,0,13.44,13.67
qual-f-60633-21,forged,124,2,0,15.24,16.88
qual-f-60633-22,forged,123,2,0,11.60,16.76
qual-f-60633-23,forged,126,2,0,15.43,16.12
qual-f-60633-24,forged,127,2,0,14.13,17.04
qual-f-60633-25,forged,128,2,0,13.59,16.32
qual-f-60633-26,forged,129,2,0,13.46,17.92
qual-f-60633-27,forged,130,2,0,13.58,18.21
qual-f-60633-28,forged,131,2,0,24.96,17.88
qual-f-60633-29,forged,132,2,0,25.05,17.70
qual-f-60633-3,forged,106,2,0,11.46,20.05
qual-f-60633-30,forged,133,2,0,24.22,17.92
qual-f-60633-31,forged,134,2,0,23.92,18.97
qual-f-60633-32,forged,135,2,0,19.38,13.64
qual-f-60633-33,forged,136,2,0,18.46,19.08
qual-f-60633-34,forged,137,2,0,18.23,19.01
qual-f-60633-35,forged,138,2,0,14.66,18.79
qual-f-60633-36,forged,139,2,0,11.18,18.45
qual-f-60633-37,forged,140,2,0,11.04,18.29
qual-f-60633-38,forged,142,2,0,10.64,17.97
qual-f-60633-39,forged,144,2,0,11.47,17.90
qual-f-60633-4,forged,107,2,0,11.20,16.86
qual-f-60633-40,forged,141,2,0,11.43,17.90
qual-f-60633-41,forged,143,2,0,11.46,17.42
qual-f-60633-42,forged,145,2,0,9.64,17.57
qual-f-60633-43,forged,146,2,0,10.67,17.64
qual-f-60633-44,forged,148,2,0,10.44,17.67
qual-f-60633-45,forged,147,2,0,10.41,17.48
qual-f-60633-46,forged,149,2,0,11.87,17.44
qual-f-60633-47,forged,151,2,0,11.54,17.38
qual-f-60633-48,forged,150,2,0,9.54,15.55
qual-f-60633-49,forged,152,2,0,9.39,15.56
qual-f-60633-5,forged,108,2,0,10.72,19.84
qual-f-60633-50,forged,153,2,0,10.53,15.56
qual-f-60633-51,forged,154,2,0,10.80,15.55
qual-f-60633-52,forged,155,2,0,11.58,17.59
qual-f-60633-53,forged,156,2,0,11.53,17.67
qual-f-60633-54,forged,159,2,0,9.30,17.61
qual-f-60633-55,forged,157,2,0,9.77,15.54
qual-f-60633-56,forged,158,2,0,10.55,17.55
qual-f-60633-57,forged,160,2,0,10.01,17.29
qual-f-60633-58,forged,161,2,0,11.21,9.91
qual-f-60633-59,forged,162,2,0,10.94,14.73
qual-f-60633-6,forged,110,2,0,11.91,15.15
qual-f-60633-60,forged,163,2,0,9.38,14.70
qual-f-60633-61,forged,164,2,0,10.06,14.70
qual-f-60633-62,forged,165,2,0,9.83,10.13
qual-f-60633-63,forged,167,2,0,8.63,14.75
qual-f-60633-64,forged,166,2,0,9.20,14.94
qual-f-60633-65,forged,168,2,0,8.82,14.80
qual-f-60633-66,forged,169,2,0,12.09,17.06
qual-f-60633-67,forged,170,2,0,12.09,14.74
qual-f-60633-68,forged,171,2,0,9.68,12.43
qual-f-60633-69,forged,172,2,0,10.49,16.34
qual-f-60633-7,forged,109,2,0,11.86,12.38
qual-f-60633-70,forged,173,2,0,10.49,10.60
qual-f-60633-71,forged,176,2,0,10.65,15.25
qual-f-60633-72,forged,174,2,0,9.63,10.48
qual-f-60633-73,forged,175,2,0,8.68,18.63
qual-f-60633-74,forged,177,2,0,8.95,16.16
qual-f-60633-75,forged,178,2,0,8.86,16.16
qual-f-60633-76,forged,180,2,0,10.51,18.02
qual-f-60633-77,forged,179,2,0,10.05,14.00
qual-f-60633-78,forged,181,2,0,10.51,18.05
qual-f-60633-79,forged,182,2,0,9.13,18.05
qual-f-60633-8,forged,112,2,0,14.26,15.34
qual-f-60633-80,forged,184,2,0,11.61,21.88
qual-f-60633-81,forged,183,2,0,12.04,14.29
qual-f-60633-82,forged,185,2,0,10.76,14.34
qual-f-60633-83,forged,186,2,0,10.57,21.02
qual-f-60633-84,forged,187,2,0,8.16,18.44
qual-f-60633-85,forged,188,2,0,8.40,20.54
qual-f-60633-86,forged,189,2,0,10.77,20.95
qual-f-60633-87,forged,192,2,0,11.10,14.87
qual-f-60633-88,forged,191,2,0,10.13,18.29
qual-f-60633-89,forged,190,2,0,11.06,18.38
qual-f-60633-9,forged,111,2,0,12.26,15.50
qual-f-60633-90,forged,193,2,0,9.68,18.39
qual-f-60633-91,forged,194,2,0,9.93,19.08
qual-f-60633-92,forged,195,2,0,11.87,19.00
qual-f-60633-93,forged,196,2,0,10.26,15.11
qual-f-60633-94,forged,197,2,0,10.39,15.00
qual-f-60633-95,forged,198,2,0,10.22,15.04
qual-f-60633-96,forged,200,2,0,9.81,20.93
qual-f-60633-97,forged,199,2,0,8.57,20.85
qual-f-60633-98,forged,201,2,0,7.87,14.56
qual-f-60633-99,forged,202,2,0,6.78,13.31
qual-r-60633-0,real,10,1,0,123.72,37.46
qual-r-60633-1,real,4,1,0,123.70,25.74
qual-r-60633-10,real,12,1,0,14.99,32.48
qual-r-60633-11,real,13,1,0,13.32,25.18
qual-r-60633-12,real,15,1,0,12.95,30.56
qual-r-60633-13,real,16,1,0,13.56,28.82
qual-r-60633-14,real,17,1,0,12.93,28.61
qual-r-60633-15,real,18,1,0,14.78,28.22
qual-r-60633-16,real,19,1,0,12.00,13.00
qual-r-60633-17,real,20,1,0,12.35,12.93
qual-r-60633-18,real,21,1,0,12.56,12.94
qual-r-60633-19,real,22,1,0,12.78,12.85
qual-r-60633-2,real,8,1,0,123.51,32.46
qual-r-60633-20,real,24,1,0,13.00,16.45
qual-r-60633-21,real,23,1,0,10.96,21.34
qual-r-60633-22,real,25,1,0,12.89,13.75
qual-r-60633-23,real,26,1,0,13.29,16.16
qual-r-60633-24,real,29,1,0,10.29,15.96
qual-r-60633-25,real,27,1,0,10.30,20.68
qual-r-60633-26,real,31,1,0,12.14,19.51
qual-r-60633-27,real,32,1,0,10.03,17.60
qual-r-60633-28,real,28,1,0,11.52,12.48
qual-r-60633-29,real,30,1,0,11.88,17.54
qual-r-60633-3,real,6,1,0,123.46,29.10
qual-r-60633-30,real,33,1,0,10.95,17.47
qual-r-60633-31,real,34,1,0,10.07,18.22
qual-r-60633-32,real,35,1,0,13.05,11.23
qual-r-60633-33,real,37,1,0,12.40,16.27
qual-r-60633-34,real,36,1,0,12.20,16.41
qual-r-60633-35,real,39,1,0,10.88,16.24
qual-r-60633-36,real,38,1,0,12.18,16.60
qual-r-60633-37,real,40,1,0,11.67,17.01
qual-r-60633-38,real,41,1,0,9.37,14.05
qual-r-60633-39,real,42,1,0,10.63,14.09
qual-r-60633-4,real,9,1,0,123.40,32.87
qual-r-60633-40,real,43,1,0,13.14,14.16
qual-r-60633-41,real,44,1,0,14.79,16.89
qual-r-60633-42,real,45,1,0,13.95,16.12
qual-r-60633-43,real,47,1,0,13.81,16.09
qual-r-60633-44,real,46,1,0,10.92,17.03
qual-r-60633-45,real,48,1,0,13.89,17.62
qual-r-60633-46,real,49,1,0,13.65,15.90
qual-r-60633-47,real,50,1,0,18.56,15.83
qual-r-60633-48,real,51,1,0,17.83,17.42
qual-r-60633-49,real,52,1,0,15.39,17.40
qual-r-60633-5,real,5,1,0,123.41,32.98
qual-r-60633-50,real,54,1,0,14.33,24.72
qual-r-60633-51,real,56,1,0,15.32,11.58
qual-r-60633-52,real,53,1,0,13.64,13.51
qual-r-60633-53,real,55,1,0,14.57,25.54
qual-r-60633-54,real,57,1,0,14.96,17.53
qual-r-60633-55,real,58,1,0,18.47,17.46
qual-r-60633-56,real,59,1,0,14.71,18.53
qual-r-60633-57,real,60,1,0,14.78,16.60
qual-r-60633-58,real,62,1,0,14.12,18.46
qual-r-60633-59,real,61,1,0,14.01,18.68
qual-r-60633-6,real,7,1,0,123.37,25.55
qual-r-60633-60,real,63,1,0,14.84,19.43
qual-r-60633-61,real,64,1,0,14.49,19.29
qual-r-60633-62,real,65,1,0,16.49,19.18
qual-r-60633-63,real,66,1,0,13.38,18.81
qual-r-60633-64,real,68,1,0,11.91,18.12
qual-r-60633-65,real,67,1,0,13.29,18.44
qual-r-60633-66,real,69,1,0,10.69,17.39
qual-r-60633-67,real,70,1,0,10.58,18.29
qual-r-60633-68,real,72,1,0,12.96,16.01
qual-r-60633-69,real,71,1,0,12.08,16.47
qual-r-60633-7,real,3,1,0,123.27,25.61
qual-r-60633-70,real,73,1,0,13.56,17.61
qual-r-60633-71,real,74,1,0,12.62,15.61
qual-r-60633-72,real,75,1,0,13.38,12.83
qual-r-60633-73,real,76,1,0,13.26,15.84
qual-r-60633-74,real,77,1,0,11.09,13.57
qual-r-60633-75,real,80,1,0,13.26,15.75
qual-r-60633-76,real,79,1,0,12.73,17.60
qual-r-60633-77,real,78,1,0,15.78,17.41
qual-r-60633-78,real,81,1,0,18.79,14.99
qual-r-60633-79,real,82,1,0,15.64,16.98
qual-r-60633-8,real,14,1,0,14.78,29.36
qual-r-60633-80,real,83,1,0,16.75,14.71
qual-r-60633-81,real,84,1,0,14.35,13.19
qual-r-60633-82,real,85,1,0,17.34,14.47
qual-r-60633-83,real,86,1,0,15.29,14.34
qual-r-60633-84,real,87,1,0,14.98,21.10
qual-r-60633-85,real,88,1,0,17.64,15.34
qual-r-60633-86,real,89,1,0,13.91,18.14
qual-r-60633-87,real,90,1,0,12.82,12.76
qual-r-60633-88,real,91,1,0,11.92,18.39
qual-r-60633-89,real,92,1,0,11.15,20.19
qual-r-60633-9,real,11,1,0,14.48,25.30
qual-r-60633-90,real,93,1,0,9.08,13.43
qual-r-60633-91,real,94,1,0,10.45,17.98
qual-r-60633-92,real,95,1,0,13.51,17.68
qual-r-60633-93,real,96,1,0,13.35,17.62
qual-r-60633-94,real,97,1,0,10.28,21.90
qual-r-60633-95,real,98,1,0,10.36,19.07
qual-r-60633-96,real,99,1,0,12.64,21.71
qual-r-60633-97,real,100,1,0,11.03,21.79
qual-r-60633-98,real,101,1,0,10.44,19.56
qual-r-60633-99,real,103,1,0,11.06,22.48
