seq,concurrency,latency_ms,status,ok
0,500,244.43,200,1
1,500,277.33,200,1
2,500,280.16,200,1
3,500,268.64,200,1
4,500,277.46,200,1
5,500,253.36,200,1
6,500,279.41,200,1
7,500,275.91,200,1
8,500,243.05,200,1
9,500,308.10,200,1
10,500,321.03,200,1
11,500,305.38,200,1
12,500,1016.59,200,1
13,500,323.88,200,1
14,500,273.63,200,1
15,500,304.50,200,1
16,500,277.97,200,1
17,500,277.76,200,1
18,500,307.69,200,1
19,500,436.54,200,1
20,500,368.68,200,1
21,500,307.57,200,1
22,500,275.27,200,1
23,500,234.53,200,1
24,500,358.91,200,1
25,500,271.60,200,1
26,500,273.47,200,1
27,500,423.07,200,1
28,500,1102.34,200,1
29,500,368.06,200,1
30,500,429.93,200,1
31,500,322.18,200,1
32,500,271.95,200,1
33,500,306.11,200,1
34,500,515.31,200,1
35,500,273.77,200,1
36,500,442.05,200,1
37,500,434.78,200,1
38,500,479.28,200,1
39,500,272.93,200,1
40,500,433.65,200,1
41,500,275.12,200,1
42,500,388.60,200,1
43,500,432.84,200,1
44,500,433.24,200,1
45,500,304.50,200,1
46,500,594.45,200,1
47,500,433.23,200,1
48,500,477.72,200,1
49,500,475.08,200,1
50,500,512.85,200,1
51,500,426.48,200,1
52,500,355.51,200,1
53,500,431.94,200,1
54,500,431.26,200,1
55,500,1041.92,200,1
56,500,343.30,200,1
57,500,511.94,200,1
58,500,1173.38,200,1
59,500,476.19,200,1
60,500,511.09,200,1
61,500,1044.98,200,1
62,500,532.42,200,1
63,500,430.21,200,1
64,500,1177.04,200,1
65,500,574.03,200,1
66,500,526.97,200,1
67,500,384.95,200,1
68,500,531.98,200,1
69,500,429.63,200,1
70,500,425.55,200,1
71,500,509.76,200,1
72,500,432.27,200,1
73,500,386.93,200,1
74,500,531.76,200,1
75,500,428.96,200,1
76,500,531.64,200,1
77,500,572.98,200,1
78,500,1175.81,200,1
79,500,709.46,200,1
80,500,712.34,200,1
81,500,529.11,200,1
82,500,529.31,200,1
83,500,530.02,200,1
84,500,577.22,200,1
85,500,540.63,200,1
86,500,427.59,200,1
87,500,520.63,200,1
88,500,1041.36,200,1
89,500,996.67,200,1
90,500,869.41,200,1
91,500,700.11,200,1
92,500,1334.42,200,1
93,500,765.59,200,1
94,500,4164.51,200,1
95,500,2211.44,200,1
96,500,713.72,200,1
97,500,707.12,200,1
98,500,2939.14,200,1
99,500,3248.60,200,1
100,500,1355.94,200,1
101,500,847.64,200,1
102,500,2939.02,200,1
103,500,2850.44,200,1
104,500,2940.45,200,1
105,500,3847.83,200,1
106,500,2975.77,200,1
107,500,2972.96,200,1
108,500,519.33,200,1
109,500,2973.25,200,1
110,500,2978.26,200,1
111,500,2973.45,200,1
112,500,2966.12,200,1
113,500,2973.20,200,1
114,500,3023.05,200,1
115,500,1171.43,200,1
116,500,569.48,200,1
117,500,706.12,200,1
118,500,2975.39,200,1
119,500,425.58,200,1
120,500,614.28,200,1
121,500,904.48,200,1
122,500,526.31,200,1
123,500,1030.25,200,1
124,500,2971.90,200,1
125,500,528.63,200,1
126,500,2965.14,200,1
127,500,3016.84,200,1
128,500,3023.93,200,1
129,500,3023.17,200,1
130,500,3021.50,200,1
131,500,3021.61,200,1
132,500,3050.90,200,1
133,500,567.68,200,1
134,500,3162.89,200,1
135,500,713.08,200,1
136,500,902.43,200,1
137,500,525.96,200,1
138,500,529.57,200,1
139,500,694.12,200,1
140,500,516.62,200,1
141,500,703.49,200,1
142,500,525.33,200,1
143,500,524.80,200,1
144,500,1329.05,200,1
145,500,609.63,200,1
146,500,1350.29,200,1
147,500,693.36,200,1
148,500,609.14,200,1
149,500,608.86,200,1
150,500,695.11,200,1
151,500,702.26,200,1
152,500,692.06,200,1
153,500,758.52,200,1
154,500,700.10,200,1
155,500,1354.02,200,1
156,500,1349.23,200,1
157,500,747.68,200,1
158,500,689.69,200,1
159,500,1348.16,200,1
160,500,699.82,200,1
161,500,792.03,200,1
162,500,777.23,200,1
163,500,712.11,200,1
164,500,3242.70,200,1
165,500,690.58,200,1
166,500,692.23,200,1
167,500,4160.45,200,1
168,500,776.13,200,1
169,500,792.03,200,1
170,500,3240.48,200,1
171,500,727.80,200,1
172,500,3240.67,200,1
173,500,777.04,200,1
174,500,756.11,200,1
175,500,777.67,200,1
176,500,3240.21,200,1
177,500,790.37,200,1
178,500,2219.03,200,1
179,500,911.54,200,1
180,500,997.50,200,1
181,500,897.11,200,1
182,500,789.99,200,1
183,500,776.29,200,1
184,500,995.04,200,1
185,500,774.70,200,1
186,500,791.01,200,1
187,500,773.89,200,1
188,500,1468.38,200,1
189,500,865.37,200,1
190,500,762.28,200,1
191,500,999.27,200,1
192,500,1076.42,200,1
193,500,360.50,200,1
194,500,2179.33,200,1
195,500,1466.12,200,1
196,500,2178.74,200,1
197,500,1463.39,200,1
198,500,758.41,200,1
199,500,1427.55,200,1
200,500,1427.53,200,1
201,500,994.35,200,1
202,500,878.53,200,1
203,500,862.80,200,1
204,500,757.81,200,1
205,500,763.82,200,1
206,500,761.13,200,1
207,500,965.74,200,1
208,500,2182.93,200,1
209,500,884.67,200,1
210,500,1460.55,200,1
211,500,2184.45,200,1
212,500,858.72,200,1
213,500,3202.69,200,1
214,500,737.64,200,1
215,500,1124.06,200,1
216,500,473.82,200,1
217,500,2178.46,200,1
218,500,2976.18,200,1
219,500,334.64,200,1
220,500,783.10,200,1
221,500,869.88,200,1
222,500,783.89,200,1
223,500,3003.13,200,1
224,500,2170.58,200,1
225,500,3121.92,200,1
226,500,958.24,200,1
227,500,2177.44,200,1
228,500,854.58,200,1
229,500,2178.72,200,1
230,500,957.96,200,1
231,500,2166.94,200,1
232,500,857.74,200,1
233,500,748.83,200,1
234,500,3124.24,200,1
235,500,883.02,200,1
236,500,354.27,200,1
237,500,874.37,200,1
238,500,857.42,200,1
239,500,853.49,200,1
240,500,855.21,200,1
241,500,471.54,200,1
242,500,870.18,200,1
243,500,797.10,200,1
244,500,984.63,200,1
245,500,1120.36,200,1
246,500,442.23,200,1
247,500,1096.95,200,1
248,500,1120.14,200,1
249,500,1116.09,200,1
250,500,1284.84,200,1
251,500,2765.15,200,1
252,500,1141.99,200,1
253,500,1111.29,200,1
254,500,983.65,200,1
255,500,1115.67,200,1
256,500,1116.29,200,1
257,500,1195.15,200,1
258,500,1348.98,200,1
259,500,2783.70,200,1
260,500,1118.98,200,1
261,500,1115.34,200,1
262,500,979.00,200,1
263,500,1110.51,200,1
264,500,1238.25,200,1
265,500,355.23,200,1
266,500,1201.50,200,1
267,500,1114.43,200,1
268,500,1212.62,200,1
269,500,982.61,200,1
270,500,1110.31,200,1
271,500,982.25,200,1
272,500,1047.67,200,1
273,500,1131.54,200,1
274,500,3045.06,200,1
275,500,3934.00,200,1
276,500,1252.17,200,1
277,500,1414.44,200,1
278,500,978.27,200,1
279,500,981.95,200,1
280,500,1302.27,200,1
281,500,985.94,200,1
282,500,1113.25,200,1
283,500,352.14,200,1
284,500,1108.22,200,1
285,500,1116.44,200,1
286,500,951.72,200,1
287,500,952.63,200,1
288,500,1207.08,200,1
289,500,1111.64,200,1
290,500,1206.15,200,1
291,500,979.12,200,1
292,500,1091.67,200,1
293,500,1133.86,200,1
294,500,1059.20,200,1
295,500,1277.26,200,1
296,500,1091.29,200,1
297,500,1279.03,200,1
298,500,1450.53,200,1
299,500,1275.69,200,1
300,500,1110.12,200,1
301,500,1058.82,200,1
302,500,1058.81,200,1
303,500,1105.87,200,1
304,500,635.25,200,1
305,500,635.44,200,1
306,500,3111.56,200,1
307,500,1428.36,200,1
308,500,1277.66,200,1
309,500,1297.75,200,1
310,500,1274.81,200,1
311,500,1247.64,200,1
312,500,1247.56,200,1
313,500,968.77,200,1
314,500,2153.27,200,1
315,500,1342.82,200,1
316,500,635.22,200,1
317,500,1247.83,200,1
318,500,1275.90,200,1
319,500,1275.51,200,1
320,500,1275.49,200,1
321,500,740.65,200,1
322,500,1276.14,200,1
323,500,1294.75,200,1
324,500,1296.57,200,1
325,500,1336.75,200,1
326,500,636.45,200,1
327,500,2965.10,200,1
328,500,1273.43,200,1
329,500,635.15,200,1
330,500,844.62,200,1
331,500,1297.00,200,1
332,500,1341.60,200,1
333,500,3114.78,200,1
334,500,1341.62,200,1
335,500,635.29,200,1
336,500,2980.40,200,1
337,500,1247.15,200,1
338,500,1341.23,200,1
339,500,2966.45,200,1
340,500,2992.49,200,1
341,500,3074.15,200,1
342,500,2992.97,200,1
343,500,3107.72,200,1
344,500,3113.27,200,1
345,500,3911.47,200,1
346,500,1411.56,200,1
347,500,2979.70,200,1
348,500,738.77,200,1
349,500,3104.74,200,1
350,500,2992.45,200,1
351,500,2992.73,200,1
352,500,2992.71,200,1
353,500,2963.03,200,1
354,500,2990.58,200,1
355,500,3902.56,200,1
356,500,3110.58,200,1
357,500,723.95,200,1
358,500,2992.03,200,1
359,500,723.86,200,1
360,500,745.03,200,1
361,500,1407.31,200,1
362,500,1443.67,200,1
363,500,1446.89,200,1
364,500,1271.72,200,1
365,500,2991.46,200,1
366,500,2991.54,200,1
367,500,1406.91,200,1
368,500,1442.45,200,1
369,500,943.68,200,1
370,500,1445.61,200,1
371,500,1444.09,200,1
372,500,1406.39,200,1
373,500,1442.98,200,1
374,500,2148.86,200,1
375,500,1410.40,200,1
376,500,1445.50,200,1
377,500,1442.88,200,1
378,500,1441.50,200,1
379,500,3060.49,200,1
380,500,2811.26,200,1
381,500,1442.50,200,1
382,500,1438.58,200,1
383,500,1443.90,200,1
384,500,2147.89,200,1
385,500,2162.55,200,1
386,500,2164.47,200,1
387,500,1437.09,200,1
388,500,2160.87,200,1
389,500,2146.38,200,1
390,500,1440.19,200,1
391,500,719.31,200,1
392,500,2152.78,200,1
393,500,2162.30,200,1
394,500,838.64,200,1
395,500,2160.95,200,1
396,500,838.60,200,1
397,500,2161.57,200,1
398,500,858.08,200,1
399,500,2144.48,200,1
400,500,2144.48,200,1
401,500,841.65,200,1
402,500,2150.06,200,1
403,500,865.59,200,1
404,500,2160.25,200,1
405,500,837.36,200,1
406,500,2160.89,200,1
407,500,2152.22,200,1
408,500,865.42,200,1
409,500,3177.22,200,1
410,500,850.97,200,1
411,500,852.38,200,1
412,500,3102.87,200,1
413,500,839.05,200,1
414,500,3177.37,200,1
415,500,2142.69,200,1
416,500,2141.20,200,1
417,500,2984.06,200,1
418,500,851.29,200,1
419,500,2142.64,200,1
420,500,2148.45,200,1
421,500,2820.60,200,1
422,500,2150.33,200,1
423,500,2142.09,200,1
424,500,2149.79,200,1
425,500,2157.42,200,1
426,500,2778.77,200,1
427,500,937.69,200,1
428,500,2140.45,200,1
429,500,964.60,200,1
430,500,2158.76,200,1
431,500,2159.01,200,1
432,500,2140.30,200,1
433,500,4091.58,200,1
434,500,1436.24,200,1
435,500,2148.11,200,1
436,500,934.27,200,1
437,500,2140.37,200,1
438,500,971.15,200,1
439,500,2152.44,200,1
440,500,2145.77,200,1
441,500,2139.71,200,1
442,500,2156.45,200,1
443,500,2147.24,200,1
444,500,1090.71,200,1
445,500,1094.69,200,1
446,500,2794.75,200,1
447,500,2801.12,200,1
448,500,2146.68,200,1
449,500,2147.08,200,1
450,500,2153.02,200,1
451,500,2800.24,200,1
452,500,2153.34,200,1
453,500,2777.14,200,1
454,500,2816.84,200,1
455,500,2155.09,200,1
456,500,2866.99,200,1
457,500,2769.63,200,1
458,500,3310.71,200,1
459,500,2762.57,200,1
460,500,2771.41,200,1
461,500,3313.74,200,1
462,500,2762.17,200,1
463,500,2735.16,200,1
464,500,2770.57,200,1
465,500,2793.91,200,1
466,500,2754.39,200,1
467,500,2815.08,200,1
468,500,2865.60,200,1
469,500,2898.80,200,1
470,500,2898.51,200,1
471,500,2770.53,200,1
472,500,2978.17,200,1
473,500,2864.11,200,1
474,500,2799.09,200,1
475,500,2900.78,200,1
476,500,2799.18,200,1
477,500,4625.58,200,1
478,500,2861.11,200,1
479,500,2798.41,200,1
480,500,2761.51,200,1
481,500,3911.33,200,1
482,500,4624.87,200,1
483,500,2830.07,200,1
484,500,3091.40,200,1
485,500,3095.92,200,1
486,500,2758.49,200,1
487,500,2976.44,200,1
488,500,2863.78,200,1
489,500,2976.54,200,1
490,500,1431.19,200,1
491,500,2863.59,200,1
492,500,2858.42,200,1
493,500,2948.17,200,1
494,500,2889.73,200,1
495,500,2895.19,200,1
496,500,2889.81,200,1
497,500,2859.24,200,1
498,500,2901.24,200,1
499,500,3717.51,200,1
500,500,2947.32,200,1
501,500,2942.56,200,1
502,500,2941.30,200,1
503,500,2926.95,200,1
504,500,2914.14,200,1
505,500,1955.06,200,1
506,500,1953.77,200,1
507,500,2908.28,200,1
508,500,3760.70,200,1
509,500,1944.59,200,1
510,500,1944.75,200,1
511,500,1943.90,200,1
512,500,2906.93,200,1
513,500,1952.81,200,1
514,500,1961.21,200,1
515,500,1940.59,200,1
516,500,1941.71,200,1
517,500,2901.18,200,1
518,500,1946.92,200,1
519,500,1950.31,200,1
520,500,2847.89,200,1
521,500,2871.95,200,1
522,500,3837.32,200,1
523,500,2842.60,200,1
524,500,2930.03,200,1
525,500,2935.80,200,1
526,500,2944.44,200,1
527,500,2922.69,200,1
528,500,2920.48,200,1
529,500,2928.77,200,1
530,500,2900.87,200,1
531,500,2883.73,200,1
532,500,2890.11,200,1
533,500,2880.39,200,1
534,500,2887.80,200,1
535,500,2852.04,200,1
536,500,4255.45,200,1
537,500,5845.72,200,1
538,500,4263.19,200,1
539,500,2844.29,200,1
540,500,2983.33,200,1
541,500,2835.13,200,1
542,500,2936.44,200,1
543,500,2957.56,200,1
544,500,2965.84,200,1
545,500,2955.26,200,1
546,500,2951.41,200,1
547,500,4224.44,200,1
548,500,2442.52,200,1
549,500,2958.23,200,1
550,500,4311.94,200,1
551,500,4169.26,200,1
552,500,2960.08,200,1
553,500,2957.62,200,1
554,500,4273.90,200,1
555,500,4273.85,200,1
556,500,2963.16,200,1
557,500,4270.20,200,1
558,500,4175.71,200,1
559,500,2445.68,200,1
560,500,2942.91,200,1
561,500,2954.32,200,1
562,500,2903.02,200,1
563,500,2912.44,200,1
564,500,2358.04,200,1
565,500,2911.33,200,1
566,500,2335.22,200,1
567,500,2877.65,200,1
568,500,4193.42,200,1
569,500,2879.25,200,1
570,500,2895.76,200,1
571,500,4193.34,200,1
572,500,3310.63,200,1
573,500,3289.78,200,1
574,500,3289.62,200,1
575,500,3307.81,200,1
576,500,3287.34,200,1
577,500,3307.01,200,1
578,500,3302.84,200,1
579,500,2411.04,200,1
580,500,3302.29,200,1
581,500,3302.05,200,1
582,500,3300.85,200,1
583,500,3301.78,200,1
584,500,3301.29,200,1
585,500,3318.93,200,1
586,500,3336.07,200,1
587,500,2405.64,200,1
588,500,3301.37,200,1
589,500,4222.31,200,1
590,500,7318.25,200,1
591,500,4220.56,200,1
592,500,3271.65,200,1
593,500,4224.57,200,1
594,500,3277.66,200,1
595,500,3271.29,200,1
596,500,4227.65,200,1
597,500,4215.66,200,1
598,500,4266.91,200,1
599,500,4188.14,200,1
600,500,3282.43,200,1
601,500,4196.46,200,1
602,500,3166.11,200,1
603,500,3148.24,200,1
604,500,3217.01,200,1
605,500,3202.23,200,1
606,500,3187.40,200,1
607,500,3246.51,200,1
608,500,3245.53,200,1
