seq,concurrency,latency_ms,status,ok
0,1000,245.63,200,1
1,1000,588.95,200,1
2,1000,559.59,200,1
3,1000,585.63,200,1
4,1000,585.93,200,1
5,1000,585.40,200,1
6,1000,547.49,200,1
7,1000,584.82,200,1
8,1000,555.05,200,1
9,1000,558.57,200,1
10,1000,554.58,200,1
11,1000,590.05,200,1
12,1000,549.66,200,1
13,1000,568.22,200,1
14,1000,557.61,200,1
15,1000,584.27,200,1
16,1000,589.44,200,1
17,1000,368.60,200,1
18,1000,577.75,200,1
19,1000,565.12,200,1
20,1000,589.40,200,1
21,1000,544.36,200,1
22,1000,584.91,200,1
23,1000,583.26,200,1
24,1000,684.98,200,1
25,1000,564.92,200,1
26,1000,590.25,200,1
27,1000,590.90,200,1
28,1000,723.83,200,1
29,1000,588.86,200,1
30,1000,1796.91,200,1
31,1000,584.95,200,1
32,1000,730.89,200,1
33,1000,710.96,200,1
34,1000,555.64,200,1
35,1000,586.88,200,1
36,1000,586.72,200,1
37,1000,1088.10,200,1
38,1000,1172.15,200,1
39,1000,1114.12,200,1
40,1000,658.30,200,1
41,1000,1304.60,200,1
42,1000,1300.39,200,1
43,1000,721.59,200,1
44,1000,718.72,200,1
45,1000,916.48,200,1
46,1000,1304.11,200,1
47,1000,1589.89,200,1
48,1000,725.65,200,1
49,1000,1754.09,200,1
50,1000,706.36,200,1
51,1000,1309.59,200,1
52,1000,1310.12,200,1
53,1000,714.44,200,1
54,1000,1892.28,200,1
55,1000,718.91,200,1
56,1000,721.81,200,1
57,1000,718.87,200,1
58,1000,722.13,200,1
59,1000,725.63,200,1
60,1000,1322.51,200,1
61,1000,718.81,200,1
62,1000,726.70,200,1
63,1000,716.72,200,1
64,1000,1517.75,200,1
65,1000,701.30,200,1
66,1000,1643.92,200,1
67,1000,835.28,200,1
68,1000,913.61,200,1
69,1000,717.28,200,1
70,1000,704.69,200,1
71,1000,837.03,200,1
72,1000,792.63,200,1
73,1000,725.52,200,1
74,1000,1398.47,200,1
75,1000,830.47,200,1
76,1000,1374.74,200,1
77,1000,724.81,200,1
78,1000,799.84,200,1
79,1000,721.27,200,1
80,1000,1452.15,200,1
81,1000,794.39,200,1
82,1000,832.26,200,1
83,1000,833.38,200,1
84,1000,882.07,200,1
85,1000,762.17,200,1
86,1000,823.86,200,1
87,1000,790.76,200,1
88,1000,1539.54,200,1
89,1000,835.79,200,1
90,1000,830.31,200,1
91,1000,794.33,200,1
92,1000,790.41,200,1
93,1000,801.38,200,1
94,1000,2369.05,200,1
95,1000,831.51,200,1
96,1000,1640.64,200,1
97,1000,1451.11,200,1
98,1000,828.25,200,1
99,1000,1117.57,200,1
100,1000,1015.87,200,1
101,1000,1298.71,200,1
102,1000,1111.09,200,1
103,1000,834.41,200,1
104,1000,2368.56,200,1
105,1000,835.36,200,1
106,1000,833.55,200,1
