seq,concurrency,latency_ms,status,ok
0,500,550.70,200,1
1,500,550.69,200,1
2,500,535.58,200,1
3,500,809.03,200,1
4,500,549.56,200,1
5,500,801.59,200,1
6,500,1159.32,200,1
7,500,530.66,200,1
8,500,542.75,200,1
9,500,542.30,200,1
10,500,1481.77,200,1
11,500,808.30,200,1
12,500,530.13,200,1
13,500,793.79,200,1
14,500,814.03,200,1
15,500,807.97,200,1
16,500,541.47,200,1
17,500,1152.06,200,1
18,500,533.53,200,1
19,500,807.49,200,1
20,500,794.28,200,1
21,500,1157.14,200,1
22,500,793.70,200,1
23,500,1490.31,200,1
24,500,1145.01,200,1
25,500,1138.39,200,1
26,500,807.20,200,1
27,500,1162.33,200,1
28,500,1156.16,200,1
29,500,1775.72,200,1
30,500,1497.40,200,1
31,500,1789.19,200,1
32,500,1480.93,200,1
33,500,1130.65,200,1
34,500,1150.52,200,1
35,500,1784.96,200,1
36,500,1460.72,200,1
37,500,1155.51,200,1
38,500,1776.57,200,1
39,500,1761.22,200,1
40,500,1496.32,200,1
41,500,1496.07,200,1
42,500,2142.94,200,1
43,500,1464.34,200,1
44,500,1478.05,200,1
45,500,1495.44,200,1
46,500,2155.47,200,1
47,500,2448.21,200,1
48,500,1787.50,200,1
49,500,1789.09,200,1
50,500,1803.13,200,1
51,500,2138.59,200,1
52,500,2117.39,200,1
53,500,1758.84,200,1
54,500,2138.96,200,1
55,500,1776.39,200,1
56,500,2129.56,200,1
57,500,4139.76,200,1
58,500,2426.00,200,1
59,500,2114.89,200,1
60,500,5331.22,200,1
61,500,2699.68,200,1
62,500,5931.86,200,1
63,500,2137.38,200,1
64,500,4117.09,200,1
65,500,2149.65,200,1
66,500,2134.62,200,1
67,500,2415.88,200,1
68,500,2707.89,200,1
69,500,2435.27,200,1
70,500,2685.65,200,1
71,500,3011.64,200,1
72,500,3014.38,200,1
73,500,3339.60,200,1
74,500,2437.12,200,1
75,500,2677.04,200,1
76,500,2441.23,200,1
77,500,2432.31,200,1
78,500,2436.54,200,1
79,500,2446.68,200,1
80,500,7867.68,200,1
81,500,5031.90,200,1
82,500,3885.72,200,1
83,500,2703.44,200,1
84,500,4143.33,200,1
85,500,2695.34,200,1
86,500,3603.89,200,1
87,500,4378.39,200,1
88,500,3021.92,200,1
89,500,2443.77,200,1
90,500,2710.97,200,1
91,500,3881.49,200,1
92,500,3311.84,200,1
93,500,2708.71,200,1
94,500,3023.48,200,1
95,500,3307.72,200,1
96,500,2698.63,200,1
97,500,3333.08,200,1
98,500,2702.35,200,1
99,500,3565.51,200,1
100,500,3333.74,200,1
101,500,3318.45,200,1
102,500,4433.22,200,1
103,500,3607.27,200,1
104,500,3031.04,200,1
105,500,6454.35,200,1
106,500,4404.97,200,1
107,500,3589.56,200,1
108,500,6753.82,200,1
109,500,2996.37,200,1
110,500,3327.79,200,1
111,500,3338.97,200,1
112,500,4448.26,200,1
113,500,3845.76,200,1
114,500,5036.56,200,1
115,500,3860.88,200,1
116,500,4141.29,200,1
117,500,3578.67,200,1
118,500,3865.21,200,1
119,500,3865.62,200,1
120,500,3593.05,200,1
121,500,5041.49,200,1
122,500,3020.94,200,1
123,500,3583.73,200,1
124,500,4126.70,200,1
125,500,3600.34,200,1
126,500,3597.58,200,1
127,500,2989.23,200,1
128,500,5906.37,200,1
129,500,4151.40,200,1
130,500,3318.85,200,1
131,500,3881.68,200,1
132,500,3885.31,200,1
133,500,3594.46,200,1
134,500,3025.62,200,1
135,500,3324.63,200,1
136,500,3873.25,200,1
137,500,4435.43,200,1
138,500,4412.47,200,1
139,500,3016.80,200,1
140,500,3870.47,200,1
141,500,4758.06,200,1
142,500,4411.96,200,1
143,500,4129.28,200,1
144,500,4126.00,200,1
145,500,4146.77,200,1
146,500,4745.80,200,1
147,500,4424.17,200,1
148,500,6194.46,200,1
149,500,4764.26,200,1
150,500,4142.20,200,1
151,500,5938.08,200,1
152,500,4397.93,200,1
153,500,5335.36,200,1
154,500,5305.12,200,1
155,500,4765.06,200,1
156,500,4775.62,200,1
157,500,5675.88,200,1
158,500,6196.60,200,1
159,500,4758.47,200,1
160,500,5662.68,200,1
161,500,4773.60,200,1
162,500,5063.14,200,1
163,500,5655.65,200,1
164,500,4767.57,200,1
165,500,5049.86,200,1
166,500,5052.40,200,1
167,500,5022.59,200,1
168,500,5036.54,200,1
169,500,5043.49,200,1
170,500,5011.41,200,1
171,500,5314.17,200,1
172,500,5325.52,200,1
173,500,4777.22,200,1
174,500,6178.20,200,1
175,500,5327.43,200,1
176,500,5643.73,200,1
177,500,5919.93,200,1
178,500,5327.34,200,1
179,500,5936.95,200,1
180,500,4450.66,200,1
181,500,6466.31,200,1
182,500,5654.96,200,1
183,500,5344.64,200,1
184,500,5909.91,200,1
185,500,5670.19,200,1
186,500,5326.59,200,1
187,500,9260.86,200,1
188,500,5662.12,200,1
189,500,6469.86,200,1
190,500,5333.93,200,1
191,500,5653.57,200,1
192,500,5661.38,200,1
193,500,5905.52,200,1
194,500,5914.66,200,1
195,500,7271.45,200,1
196,500,9217.64,200,1
197,500,8385.74,200,1
198,500,6198.41,200,1
199,500,6477.77,200,1
200,500,5672.51,200,1
201,500,5919.34,200,1
202,500,6459.24,200,1
203,500,6758.91,200,1
204,500,5928.12,200,1
205,500,6182.36,200,1
206,500,4745.42,200,1
207,500,6175.31,200,1
208,500,6991.06,200,1
209,500,6194.17,200,1
210,500,6166.16,200,1
211,500,7012.82,200,1
212,500,6194.00,200,1
213,500,7883.51,200,1
214,500,6471.29,200,1
215,500,6737.69,200,1
216,500,6446.87,200,1
217,500,6746.18,200,1
218,500,6451.61,200,1
219,500,6191.24,200,1
220,500,6778.56,200,1
221,500,6780.05,200,1
222,500,6770.10,200,1
223,500,7287.59,200,1
224,500,6754.58,200,1
225,500,7239.38,200,1
226,500,6475.34,200,1
227,500,6764.03,200,1
228,500,6772.07,200,1
229,500,6989.71,200,1
230,500,6473.13,200,1
231,500,7822.92,200,1
232,500,7544.11,200,1
233,500,7029.59,200,1
234,500,7037.04,200,1
235,500,7295.73,200,1
236,500,7008.56,200,1
237,500,7020.16,200,1
238,500,121.78,EXCEPTION,0
239,500,7251.42,200,1
240,500,113.88,EXCEPTION,0
241,500,6996.82,200,1
242,500,7265.00,200,1
243,500,7014.55,200,1
244,500,7277.97,200,1
245,500,7834.40,200,1
246,500,7239.53,200,1
247,500,120.89,EXCEPTION,0
248,500,7017.59,200,1
249,500,7271.34,200,1
250,500,7561.19,200,1
251,500,7553.83,200,1
252,500,7526.36,200,1
253,500,7819.50,200,1
254,500,7549.51,200,1
255,500,7514.72,200,1
256,500,7512.41,200,1
257,500,159.02,EXCEPTION,0
258,500,7576.91,200,1
259,500,179.42,EXCEPTION,0
260,500,7268.42,200,1
261,500,147.44,EXCEPTION,0
262,500,112.18,EXCEPTION,0
263,500,7568.20,200,1
264,500,85.04,EXCEPTION,0
265,500,7545.02,200,1
266,500,110.69,EXCEPTION,0
267,500,111.08,EXCEPTION,0
268,500,111.36,EXCEPTION,0
269,500,111.19,EXCEPTION,0
270,500,90.14,EXCEPTION,0
271,500,92.46,EXCEPTION,0
272,500,108.68,EXCEPTION,0
273,500,119.89,EXCEPTION,0
274,500,91.96,EXCEPTION,0
275,500,108.08,EXCEPTION,0
276,500,154.05,EXCEPTION,0
277,500,109.52,EXCEPTION,0
278,500,91.92,EXCEPTION,0
279,500,92.25,EXCEPTION,0
280,500,107.62,EXCEPTION,0
281,500,108.08,EXCEPTION,0
282,500,115.61,EXCEPTION,0
283,500,117.69,EXCEPTION,0
284,500,116.11,EXCEPTION,0
285,500,256.49,EXCEPTION,0
286,500,115.50,EXCEPTION,0
287,500,116.35,EXCEPTION,0
288,500,167.89,EXCEPTION,0
289,500,256.34,EXCEPTION,0
290,500,91.59,EXCEPTION,0
291,500,90.99,EXCEPTION,0
292,500,91.63,EXCEPTION,0
293,500,106.89,EXCEPTION,0
294,500,117.80,EXCEPTION,0
295,500,108.22,EXCEPTION,0
296,500,118.07,EXCEPTION,0
297,500,255.77,EXCEPTION,0
298,500,256.20,EXCEPTION,0
299,500,117.70,EXCEPTION,0
300,500,142.53,EXCEPTION,0
301,500,90.79,EXCEPTION,0
302,500,147.26,EXCEPTION,0
303,500,224.78,EXCEPTION,0
304,500,144.85,EXCEPTION,0
305,500,184.96,EXCEPTION,0
306,500,143.51,EXCEPTION,0
307,500,145.43,EXCEPTION,0
308,500,86.00,EXCEPTION,0
309,500,216.36,EXCEPTION,0
310,500,113.36,EXCEPTION,0
311,500,89.24,EXCEPTION,0
312,500,195.90,EXCEPTION,0
313,500,106.55,EXCEPTION,0
314,500,115.64,EXCEPTION,0
315,500,104.70,EXCEPTION,0
316,500,143.07,EXCEPTION,0
317,500,105.93,EXCEPTION,0
318,500,178.62,EXCEPTION,0
319,500,88.06,EXCEPTION,0
320,500,106.69,EXCEPTION,0
321,500,145.48,EXCEPTION,0
322,500,87.79,EXCEPTION,0
323,500,143.36,EXCEPTION,0
324,500,141.60,EXCEPTION,0
325,500,217.66,EXCEPTION,0
326,500,112.92,EXCEPTION,0
327,500,111.58,EXCEPTION,0
328,500,112.75,EXCEPTION,0
329,500,114.70,EXCEPTION,0
330,500,82.69,EXCEPTION,0
331,500,11893.22,200,1
332,500,104.08,EXCEPTION,0
333,500,88.33,EXCEPTION,0
334,500,219.80,EXCEPTION,0
335,500,87.16,EXCEPTION,0
336,500,213.72,EXCEPTION,0
337,500,87.28,EXCEPTION,0
338,500,140.35,EXCEPTION,0
339,500,110.76,EXCEPTION,0
340,500,112.53,EXCEPTION,0
341,500,87.10,EXCEPTION,0
342,500,251.90,EXCEPTION,0
343,500,178.31,EXCEPTION,0
344,500,186.11,EXCEPTION,0
345,500,176.24,EXCEPTION,0
346,500,179.42,EXCEPTION,0
347,500,176.54,EXCEPTION,0
348,500,178.29,EXCEPTION,0
349,500,103.37,EXCEPTION,0
350,500,210.09,EXCEPTION,0
351,500,205.62,EXCEPTION,0
352,500,175.92,EXCEPTION,0
353,500,171.29,EXCEPTION,0
354,500,191.89,EXCEPTION,0
355,500,198.45,EXCEPTION,0
356,500,171.00,EXCEPTION,0
357,500,178.86,EXCEPTION,0
358,500,158.96,EXCEPTION,0
359,500,159.67,EXCEPTION,0
