seq,concurrency,latency_ms,status,ok
0,100,522.96,200,1
1,100,528.43,200,1
2,100,1621.80,200,1
3,100,651.09,200,1
4,100,991.13,200,1
5,100,935.65,200,1
6,100,3000.13,200,1
7,100,552.02,200,1
8,100,941.20,200,1
9,100,627.86,200,1
10,100,565.36,200,1
11,100,585.60,200,1
12,100,585.12,200,1
13,100,600.90,200,1
14,100,2480.01,200,1
15,100,2922.51,200,1
16,100,1240.65,200,1
17,100,926.30,200,1
18,100,997.40,200,1
19,100,662.98,200,1
20,100,895.76,200,1
21,100,897.07,200,1
22,100,1306.57,200,1
23,100,2518.62,200,1
24,100,2952.47,200,1
25,100,904.04,200,1
26,100,1265.43,200,1
27,100,960.76,200,1
28,100,4176.84,200,1
29,100,4320.13,200,1
30,100,878.07,200,1
31,100,1275.68,200,1
32,100,1243.10,200,1
33,100,1573.56,200,1
34,100,2089.94,200,1
35,100,1607.50,200,1
36,100,1310.49,200,1
37,100,1267.95,200,1
38,100,1250.38,200,1
39,100,1675.44,200,1
40,100,1622.35,200,1
41,100,3372.62,200,1
42,100,1568.27,200,1
43,100,1243.72,200,1
44,100,3880.26,200,1
45,100,4210.75,200,1
46,100,3808.03,200,1
47,100,2006.82,200,1
48,100,2997.02,200,1
49,100,2048.11,200,1
50,100,1597.14,200,1
51,100,2489.10,200,1
52,100,1692.75,200,1
53,100,3343.16,200,1
54,100,1327.82,200,1
55,100,2535.78,200,1
56,100,3772.53,200,1
57,100,3861.48,200,1
58,100,2002.56,200,1
59,100,1664.31,200,1
60,100,1583.67,200,1
61,100,3795.61,200,1
62,100,3455.55,200,1
63,100,3354.58,200,1
64,100,3364.23,200,1
65,100,1986.20,200,1
66,100,2936.95,200,1
67,100,2024.98,200,1
68,100,3408.18,200,1
69,100,2020.10,200,1
70,100,2021.20,200,1
71,100,2903.13,200,1
72,100,3335.24,200,1
73,100,3742.62,200,1
74,100,2127.23,200,1
75,100,3742.66,200,1
76,100,3388.34,200,1
77,100,4220.13,200,1
78,100,2144.04,200,1
